#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.30212  0.00000  0.82513  0.010151  0.005669  0.000546     1.791
   0.00806  1.29417  0.00132  0.85107  0.008410  0.005047  0.000743     1.666
   0.02084  1.28155  0.00338  0.87543  0.007215  0.004550  0.000924     1.586
   0.03453  1.26804  0.00555  0.89743  0.006360  0.004157  0.001089     1.530
   0.04918  1.25357  0.00783  0.91706  0.005724  0.003843  0.001238     1.490
   0.06482  1.23811  0.01022  0.93508  0.005221  0.003580  0.001376     1.458
   0.08140  1.22172  0.01269  0.95146  0.004818  0.003359  0.001503     1.434
   0.09880  1.20450  0.01522  0.96635  0.004487  0.003171  0.001619     1.415
   0.11682  1.18666  0.01776  0.97994  0.004210  0.003008  0.001726     1.400
   0.13530  1.16835  0.02028  0.99196  0.003981  0.002870  0.001821     1.387
   0.15412  1.14970  0.02275  1.00246  0.003792  0.002752  0.001904     1.378
   0.17322  1.13074  0.02513  1.01125  0.003640  0.002654  0.001972     1.372
   0.19261  1.11150  0.02743  1.01810  0.003524  0.002576  0.002021     1.368
   0.21229  1.09193  0.02964  1.02284  0.003442  0.002517  0.002050     1.368
   0.23230  1.07204  0.03179  1.02627  0.003380  0.002469  0.002066     1.369
   0.25259  1.05187  0.03391  1.02884  0.003332  0.002428  0.002071     1.372
   0.27309  1.03148  0.03602  1.03125  0.003286  0.002389  0.002074     1.375
   0.29375  1.01092  0.03816  1.03439  0.003232  0.002345  0.002083     1.378
   0.31458  0.99021  0.04035  1.03882  0.003161  0.002291  0.002104     1.380
   0.33554  0.96936  0.04259  1.04408  0.003081  0.002232  0.002134     1.380
   0.35663  0.94840  0.04485  1.04960  0.002999  0.002172  0.002165     1.380
   0.37781  0.92734  0.04714  1.05537  0.002915  0.002112  0.002199     1.381
   0.39906  0.90622  0.04945  1.06133  0.002832  0.002051  0.002234     1.381
   0.42035  0.88506  0.05177  1.06751  0.002748  0.001990  0.002272     1.381
   0.44167  0.86387  0.05409  1.07373  0.002666  0.001930  0.002310     1.381
   0.46300  0.84266  0.05641  1.08025  0.002583  0.001870  0.002351     1.381
   0.48431  0.82148  0.05873  1.08686  0.002501  0.001810  0.002393     1.381
   0.50559  0.80033  0.06105  1.09384  0.002418  0.001750  0.002439     1.381
   0.52680  0.77924  0.06336  1.10127  0.002332  0.001689  0.002491     1.381
   0.54791  0.75826  0.06567  1.10959  0.002241  0.001625  0.002554     1.379
   0.56890  0.73740  0.06797  1.11890  0.002145  0.001558  0.002630     1.376
   0.58972  0.71670  0.07022  1.12884  0.002046  0.001491  0.002716     1.372
   0.61034  0.69620  0.07242  1.13916  0.001948  0.001424  0.002811     1.368
   0.63074  0.67590  0.07452  1.14949  0.001854  0.001360  0.002909     1.364
   0.65093  0.65581  0.07652  1.15948  0.001765  0.001299  0.003007     1.359
   0.67094  0.63589  0.07839  1.16896  0.001683  0.001241  0.003102     1.356
   0.69083  0.61607  0.08011  1.17670  0.001613  0.001192  0.003178     1.354
   0.71068  0.59628  0.08168  1.18306  0.001553  0.001148  0.003236     1.354
   0.73058  0.57644  0.08312  1.18797  0.001503  0.001109  0.003274     1.356
   0.75058  0.55648  0.08444  1.19177  0.001460  0.001074  0.003294     1.360
   0.77072  0.53638  0.08566  1.19522  0.001420  0.001040  0.003303     1.365
   0.79100  0.51613  0.08681  1.19892  0.001380  0.001006  0.003308     1.372
   0.81140  0.49576  0.08791  1.20326  0.001339  0.000971  0.003312     1.379
   0.83188  0.47531  0.08897  1.20863  0.001295  0.000933  0.003321     1.387
   0.85234  0.45487  0.09002  1.21646  0.001241  0.000890  0.003355     1.394
   0.87266  0.43458  0.09105  1.22726  0.001176  0.000841  0.003426     1.399
   0.89270  0.41457  0.09203  1.23933  0.001110  0.000791  0.003511     1.403
   0.91240  0.39489  0.09295  1.25337  0.001038  0.000739  0.003626     1.405
   0.93166  0.37564  0.09378  1.26933  0.000964  0.000686  0.003776     1.405
   0.95040  0.35691  0.09449  1.28740  0.000886  0.000632  0.003973     1.401
   0.96856  0.33876  0.09503  1.30757  0.000805  0.000578  0.004229     1.394
   0.98612  0.32121  0.09536  1.32732  0.000730  0.000528  0.004516     1.384
   1.00312  0.30421  0.09543  1.34532  0.000663  0.000483  0.004816     1.373
   1.01966  0.28767  0.09518  1.35930  0.000605  0.000444  0.005093     1.363
   1.03585  0.27149  0.09459  1.36679  0.000561  0.000414  0.005292     1.357
   1.05182  0.25555  0.09367  1.36828  0.000528  0.000389  0.005401     1.355
   1.06763  0.23978  0.09244  1.36410  0.000503  0.000370  0.005401     1.359
   1.08328  0.22421  0.09099  1.35915  0.000481  0.000352  0.005360     1.367
   1.09862  0.20895  0.08938  1.35609  0.000458  0.000332  0.005310     1.379
   1.11353  0.19413  0.08769  1.35324  0.000438  0.000313  0.005194     1.399
   1.12783  0.17993  0.08601  1.35772  0.000411  0.000290  0.005143     1.419
   1.14132  0.16654  0.08442  1.37685  0.000368  0.000258  0.005360     1.427
   1.15388  0.15408  0.08284  1.40175  0.000321  0.000225  0.005745     1.426
   1.16552  0.14256  0.08120  1.42748  0.000276  0.000194  0.006271     1.417
   1.17633  0.13189  0.07942  1.44483  0.000239  0.000170  0.006776     1.406
   1.18643  0.12198  0.07745  1.45222  0.000209  0.000150  0.007240     1.392
   1.19593  0.11272  0.07531  1.44146  0.000191  0.000137  0.007379     1.389
   1.20493  0.10402  0.07306  1.41973  0.000179  0.000128  0.007216     1.398
   1.21342  0.09582  0.07084  1.40495  0.000165  0.000117  0.007139     1.409
   1.22137  0.08815  0.06873  1.40584  0.000144  0.000102  0.007462     1.408
   1.22878  0.08101  0.06674  1.41310  0.000121  0.000086  0.007949     1.406
   1.23568  0.07438  0.06485  1.42317  0.000105  0.000071  0.007626     1.474
   1.24211  0.06821  0.06303  1.44095  0.000109  0.000059  0.004433     1.848
   1.24811  0.06248  0.06128  1.50720  0.000194  0.000045 -0.000145     4.260
   1.25371  0.05715  0.05953  1.52868  0.000155  0.000042  0.000074     3.699
   1.25897  0.05221  0.05775  1.55628  0.000115  0.000038  0.000770     3.070
   1.26393  0.04762  0.05587  1.58288  0.000091  0.000033  0.001643     2.724
   1.26862  0.04337  0.05388  1.60115  0.000072  0.000030  0.002972     2.420
   1.27308  0.03945  0.05174  1.58741  0.000065  0.000028  0.003621     2.317
   1.27737  0.03582  0.04947  1.55644  0.000061  0.000027  0.004014     2.254
   1.28149  0.03245  0.04710  1.51300  0.000059  0.000027  0.004101     2.227
   1.28546  0.02930  0.04468  1.46545  0.000058  0.000026  0.004183     2.192
   1.28929  0.02637  0.04223  1.41215  0.000059  0.000027  0.003898     2.206
   1.29298  0.02360  0.03977  1.36504  0.000059  0.000027  0.003818     2.192
   1.29655  0.02099  0.03735  1.31589  0.000063  0.000028  0.003153     2.285
   1.29999  0.01848  0.03498  1.28121  0.000076  0.000029  0.001741     2.653
   1.30332  0.01607  0.03268  1.28652  0.000073  0.000026  0.001549     2.777
   1.30653  0.01379  0.03043  1.30385  0.000056  0.000023  0.002921     2.472
   1.30962  0.01171  0.02815  1.29027  0.000045  0.000020  0.004769     2.195
   1.31261  0.00985  0.02580  1.22160  0.000046  0.000021  0.004343     2.210
   1.31553  0.00815  0.02344  1.16579  0.000053  0.000021  0.002770     2.476
   1.31836  0.00654  0.02111  1.15294  0.000047  0.000019  0.003164     2.449
   1.32110  0.00510  0.01877  1.12318  0.000037  0.000017  0.004933     2.197
   1.32377  0.00391  0.01639  1.03455  0.000038  0.000017  0.004667     2.159
   1.32637  0.00285  0.01400  0.95634  0.000044  0.000018  0.003098     2.363
   1.32891  0.00188  0.01166  0.92016  0.000040  0.000017  0.003234     2.370
   1.33139  0.00106  0.00932  0.87628  0.000035  0.000015  0.003554     2.349
   1.33380  0.00047  0.00698  0.80796  0.000031  0.000013  0.004091     2.267
   1.33617  0.00016  0.00463  0.68840  0.000029  0.000014  0.004301     2.103
   1.33849  0.00005  0.00231  0.56880  0.000036  0.000016  0.002345     2.304
   1.34077  0.00000  0.00004  0.50056  0.000032  0.000014  0.002425     2.249
   1.34305  0.00010 -0.00224  0.41192  0.000031  0.000014  0.002072     2.258
   1.34537  0.00045 -0.00454  0.30722  0.000030  0.000014  0.001690     2.203
   1.34774  0.00102 -0.00684  0.19784  0.000033  0.000015  0.000973     2.217
   1.35017  0.00173 -0.00916  0.10582  0.000035  0.000016  0.000487     2.228
   1.35266  0.00252 -0.01152  0.02028  0.000035  0.000016  0.000092     2.230
   1.35521  0.00342 -0.01391 -0.06535  0.000035  0.000016  0.000295     2.230
   1.35781  0.00448 -0.01628 -0.16162  0.000033  0.000015  0.000791     2.217
   1.36048  0.00579 -0.01861 -0.24695  0.000037  0.000016  0.001009     2.282
   1.36323  0.00733 -0.02089 -0.31864  0.000040  0.000018  0.001278     2.239
   1.36607  0.00906 -0.02314 -0.38144  0.000043  0.000019  0.001351     2.278
   1.36900  0.01093 -0.02539 -0.43861  0.000045  0.000020  0.001530     2.253
   1.37202  0.01292 -0.02766 -0.49276  0.000047  0.000021  0.001617     2.266
   1.37514  0.01501 -0.02998 -0.56465  0.000043  0.000020  0.002208     2.173
   1.37835  0.01725 -0.03229 -0.64228  0.000043  0.000019  0.002396     2.223
