#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.25223E-02  0.91559E-04
   0.17302E-02  0.48726E-03
   0.10246E-02  0.97339E-03
   0.44780E-03  0.16897E-02
   0.97881E-04  0.20719E-02
  -0.68296E-07  0.24254E-02
   0.47220E-04  0.23449E-02
   0.15621E-03  0.43011E-02
   0.46628E-03  0.40907E-02
   0.10607E-02  0.35540E-02
   0.18820E-02  0.32345E-02
   0.28512E-02  0.30980E-02
   0.39056E-02  0.46667E-02
   0.51041E-02  0.49329E-02
   0.65371E-02  0.31645E-02
   0.81451E-02  0.27702E-02
   0.98535E-02  0.43434E-02
   0.11709E-01  0.47686E-02
   0.13786E-01  0.29206E-02
   0.16069E-01  0.15489E-02
   0.18484E-01  0.17411E-02
   0.20988E-01  0.31527E-02
   0.23603E-01  0.38178E-02
   0.26365E-01  0.38976E-02
   0.29304E-01  0.41826E-02
   0.32446E-01  0.41010E-02
   0.35820E-01  0.40137E-02
   0.39451E-01  0.36208E-02
   0.43373E-01  0.29716E-02
   0.47619E-01  0.16430E-02
   0.52207E-01  0.77046E-03
   0.57151E-01  0.74390E-04
   0.62476E-01 -0.14468E-03
   0.68209E-01  0.44332E-02
   0.74377E-01  0.76265E-02
   0.81014E-01  0.79494E-02
   0.88153E-01  0.74617E-02
   0.95822E-01  0.71391E-02
   0.10402      0.72162E-02
   0.11272      0.73791E-02
   0.12198      0.72398E-02
   0.13189      0.67765E-02
   0.14256      0.62713E-02
   0.15408      0.57454E-02
   0.16654      0.53601E-02
   0.17993      0.51428E-02
   0.19413      0.51938E-02
   0.20895      0.53100E-02
   0.22421      0.53595E-02
   0.23978      0.54011E-02
   0.25555      0.54013E-02
   0.27149      0.52917E-02
   0.28767      0.50934E-02
   0.30421      0.48164E-02
   0.32121      0.45156E-02
   0.33876      0.42295E-02
   0.35691      0.39730E-02
   0.37564      0.37760E-02
   0.39489      0.36262E-02
   0.41457      0.35114E-02
   0.43458      0.34257E-02
   0.45487      0.33552E-02
   0.47531      0.33209E-02
   0.49576      0.33121E-02
   0.51613      0.33076E-02
   0.53638      0.33029E-02
   0.55648      0.32939E-02
   0.57644      0.32745E-02
   0.59628      0.32364E-02
   0.61607      0.31779E-02
   0.63589      0.31022E-02
   0.65581      0.30068E-02
   0.67590      0.29087E-02
   0.69620      0.28105E-02
   0.71670      0.27162E-02
   0.73740      0.26299E-02
   0.75826      0.25538E-02
   0.77924      0.24909E-02
   0.80033      0.24391E-02
   0.82148      0.23930E-02
   0.84266      0.23510E-02
   0.86387      0.23100E-02
   0.88506      0.22721E-02
   0.90622      0.22344E-02
   0.92734      0.21989E-02
   0.94840      0.21651E-02
   0.96936      0.21336E-02
   0.99021      0.21044E-02
    1.0109      0.20831E-02
    1.0315      0.20741E-02
    1.0519      0.20712E-02
    1.0720      0.20656E-02
    1.0919      0.20502E-02
    1.1115      0.20212E-02
    1.1307      0.19715E-02
    1.1497      0.19039E-02
    1.1684      0.18212E-02
    1.1867      0.17263E-02
    1.2045      0.16193E-02
    1.2217      0.15030E-02
    1.2381      0.13763E-02
    1.2536      0.12379E-02
    1.2680      0.10890E-02
    1.2816      0.92370E-03
    1.2942      0.74258E-03
    1.3021      0.54621E-03
    1.3022       0.0000    
    1.3103       0.0000    
    1.3193       0.0000    
    1.3295       0.0000    
    1.3410       0.0000    
    1.3539       0.0000    
    1.3684       0.0000    
    1.3847       0.0000    
    1.4030       0.0000    
    1.4236       0.0000    
    1.4467       0.0000    
    1.4728       0.0000    
    1.5021       0.0000    
    1.5350       0.0000    
    1.5720       0.0000    
    1.6136       0.0000    
    1.6605       0.0000    
    1.7131       0.0000    
    1.7723       0.0000    
    1.8388       0.0000    
    1.9136       0.0000    
    1.9977       0.0000    
    2.0923       0.0000    
    2.1987       0.0000    
    2.3183       0.0000    
    2.4527       0.0000    
    2.6039       0.0000    

   0.34177E-02  0.29511E-03
   0.44810E-02  0.79122E-03
   0.57895E-02  0.10086E-02
   0.73346E-02  0.12784E-02
   0.90621E-02  0.13515E-02
   0.10933E-01  0.15302E-02
   0.12921E-01  0.16172E-02
   0.15013E-01  0.22083E-02
   0.17252E-01  0.23963E-02
   0.19711E-01  0.23287E-02
   0.22434E-01  0.20690E-02
   0.25411E-01  0.17526E-02
   0.28619E-01  0.16954E-02
   0.32047E-01  0.14025E-02
   0.35690E-01  0.13907E-02
   0.39538E-01  0.15891E-02
   0.43598E-01  0.16278E-02
   0.47880E-01  0.18861E-02
   0.52398E-01  0.19654E-02
   0.57183E-01  0.21522E-02
   0.62283E-01  0.20200E-02
   0.67747E-01  0.17350E-02
   0.73618E-01  0.15747E-02
   0.79950E-01  0.11504E-02
   0.86805E-01  0.93452E-03
   0.94236E-01  0.81391E-03
   0.10230      0.74191E-03
   0.11103      0.77066E-03
   0.12048      0.84616E-03
   0.13064      0.95769E-03
   0.14145      0.11050E-02
   0.15284      0.11681E-02
   0.16479      0.11586E-02
   0.17728      0.10488E-02
   0.19039      0.84731E-03
   0.20421      0.65218E-03
   0.21885      0.44001E-03
   0.23440      0.33976E-03
