#    x        Cp  
   1.30212  0.31915
   1.29417  0.27568
   1.28155  0.23362
   1.26804  0.19462
   1.25357  0.15900
   1.23811  0.12562
   1.22172  0.09473
   1.20450  0.06616
   1.18666  0.03973
   1.16835  0.01602
   1.14970 -0.00494
   1.13074 -0.02262
   1.11150 -0.03652
   1.09193 -0.04620
   1.07204 -0.05324
   1.05187 -0.05851
   1.03148 -0.06348
   1.01092 -0.06996
   0.99021 -0.07915
   0.96936 -0.09010
   0.94840 -0.10167
   0.92734 -0.11381
   0.90622 -0.12641
   0.88506 -0.13958
   0.86387 -0.15290
   0.84266 -0.16695
   0.82148 -0.18127
   0.80033 -0.19648
   0.77924 -0.21280
   0.75826 -0.23120
   0.73740 -0.25193
   0.71670 -0.27427
   0.69620 -0.29769
   0.67590 -0.32132
   0.65581 -0.34439
   0.63589 -0.36647
   0.61607 -0.38463
   0.59628 -0.39964
   0.57644 -0.41128
   0.55648 -0.42031
   0.53638 -0.42855
   0.51613 -0.43741
   0.49576 -0.44783
   0.47531 -0.46078
   0.45487 -0.47978
   0.43458 -0.50617
   0.41457 -0.53595
   0.39489 -0.57094
   0.37564 -0.61119
   0.35691 -0.65741
   0.33876 -0.70974
   0.32121 -0.76178
   0.30421 -0.80989
   0.28767 -0.84770
   0.27149 -0.86811
   0.25555 -0.87219
   0.23978 -0.86076
   0.22421 -0.84728
   0.20895 -0.83899
   0.19413 -0.83127
   0.17993 -0.84342
   0.16654 -0.89571
   0.15408 -0.96491
   0.14256 -1.03771
   0.13189 -1.08754
   0.12198 -1.10896
   0.11272 -1.07782
   0.10402 -1.01565
   0.09582 -0.97388
   0.08815 -0.97637
   0.08101 -0.99686
   0.07438 -1.02542
   0.06821 -1.07634
   0.06248 -1.27166
   0.05715 -1.33685
   0.05221 -1.42202
   0.04762 -1.50552
   0.04337 -1.56368
   0.03945 -1.51987
   0.03582 -1.42249
   0.03245 -1.28918
   0.02930 -1.14753
   0.02637 -0.99418
   0.02360 -0.86334
   0.02099 -0.73155
   0.01848 -0.64151
   0.01607 -0.65513
   0.01379 -0.70001
   0.01171 -0.66480
   0.00985 -0.49231
   0.00815 -0.35907
   0.00654 -0.32926
   0.00510 -0.26153
   0.00391 -0.07030
   0.00285  0.08542
   0.00188  0.15330
   0.00106  0.23212
   0.00047  0.34721
   0.00016  0.52610
   0.00005  0.67646
   0.00000  0.74944
   0.00010  0.83032
   0.00045  0.90561
   0.00102  0.96086
   0.00173  0.98880
   0.00252  0.99959
   0.00342  0.99573
   0.00448  0.97388
   0.00579  0.93901
   0.00733  0.89847
   0.00906  0.85450
   0.01093  0.80762
   0.01292  0.75719
   0.01501  0.68116
   0.01725  0.58748
   0.01971  0.50345
   0.02243  0.44209
   0.02541  0.40447
   0.02862  0.37159
   0.03205  0.35291
   0.03569  0.33285
   0.03954  0.29685
   0.04360  0.25589
   0.04788  0.19528
   0.05240  0.12818
   0.05718  0.04633
   0.06228 -0.02394
   0.06775 -0.06965
   0.07362 -0.10412
   0.07995 -0.10584
   0.08681 -0.09831
   0.09424 -0.08861
   0.10230 -0.07942
   0.11103 -0.07851
   0.12048 -0.08822
   0.13064 -0.11135
   0.14145 -0.15143
   0.15284 -0.19674
   0.16479 -0.23978
   0.17728 -0.26897
   0.19039 -0.27599
   0.20421 -0.26741
   0.21885 -0.24340
   0.23440 -0.22044
   0.25088 -0.19777
   0.26825 -0.17878
   0.28642 -0.16614
   0.30523 -0.15482
   0.32449 -0.14705
   0.34395 -0.15694
   0.36346 -0.16920
   0.38293 -0.18002
   0.40233 -0.19007
   0.42160 -0.19873
   0.44076 -0.20681
   0.45980 -0.21269
   0.47872 -0.21695
   0.49756 -0.21741
   0.51643 -0.21096
   0.53540 -0.20106
   0.55454 -0.18778
   0.57388 -0.17268
   0.59345 -0.15706
   0.61327 -0.14016
   0.63336 -0.12262
   0.65371 -0.10536
   0.67430 -0.08927
   0.69505 -0.07511
   0.71591 -0.06298
   0.73686 -0.05366
   0.75789 -0.04577
   0.77899 -0.03860
   0.80013 -0.03216
   0.82130 -0.02620
   0.84250 -0.02097
   0.86371 -0.01572
   0.88491 -0.01064
   0.90610 -0.00568
   0.92723 -0.00068
   0.94830  0.00402
   0.96928  0.00832
   0.99014  0.01205
   1.01085  0.01393
   1.03142  0.01281
   1.05184  0.01037
   1.07203  0.00802
   1.09191  0.00710
   1.11147  0.00861
   1.13071  0.01471
   1.14966  0.02403
   1.16833  0.03669
   1.18665  0.05154
   1.20450  0.06849
   1.22172  0.08747
   1.23811  0.10893
   1.25356  0.13271
   1.26802  0.16108
   1.28154  0.19679
   1.29416  0.24299
   1.30212  0.31915
