#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           hk
   0.25223E-02   2.2295    
   0.17302E-02   2.2278    
   0.10246E-02   2.2166    
   0.44780E-03   2.2027    
   0.97881E-04   2.2577    
  -0.68296E-07   2.2495    
   0.47220E-04   2.3040    
   0.15621E-03   2.1031    
   0.46628E-03   2.2674    
   0.10607E-02   2.3490    
   0.18820E-02   2.3695    
   0.28512E-02   2.3631    
   0.39056E-02   2.1585    
   0.51041E-02   2.1972    
   0.65371E-02   2.4488    
   0.81451E-02   2.4763    
   0.98535E-02   2.2100    
   0.11709E-01   2.1953    
   0.13786E-01   2.4716    
   0.16069E-01   2.7771    
   0.18484E-01   2.6527    
   0.20988E-01   2.2854    
   0.23603E-01   2.1924    
   0.26365E-01   2.2061    
   0.29304E-01   2.1924    
   0.32446E-01   2.2269    
   0.35820E-01   2.2543    
   0.39451E-01   2.3175    
   0.43373E-01   2.4197    
   0.47619E-01   2.7245    
   0.52207E-01   3.0705    
   0.57151E-01   3.6992    
   0.62476E-01   4.2602    
   0.68209E-01   1.8481    
   0.74377E-01   1.4741    
   0.81014E-01   1.4060    
   0.88153E-01   1.4078    
   0.95822E-01   1.4094    
   0.10402       1.3982    
   0.11272       1.3887    
   0.12198       1.3923    
   0.13189       1.4057    
   0.14256       1.4169    
   0.15408       1.4264    
   0.16654       1.4274    
   0.17993       1.4193    
   0.19413       1.3985    
   0.20895       1.3791    
   0.22421       1.3675    
   0.23978       1.3593    
   0.25555       1.3551    
   0.27149       1.3570    
   0.28767       1.3632    
   0.30421       1.3731    
   0.32121       1.3838    
   0.33876       1.3935    
   0.35691       1.4013    
   0.37564       1.4048    
   0.39489       1.4050    
   0.41457       1.4029    
   0.43458       1.3989    
   0.45487       1.3943    
   0.47531       1.3874    
   0.49576       1.3792    
   0.51613       1.3717    
   0.53638       1.3651    
   0.55648       1.3596    
   0.57644       1.3556    
   0.59628       1.3537    
   0.61607       1.3538    
   0.63589       1.3556    
   0.65581       1.3593    
   0.67590       1.3635    
   0.69620       1.3680    
   0.71670       1.3723    
   0.73740       1.3761    
   0.75826       1.3790    
   0.77924       1.3807    
   0.80033       1.3813    
   0.82148       1.3815    
   0.84266       1.3813    
   0.86387       1.3813    
   0.88506       1.3810    
   0.90622       1.3809    
   0.92734       1.3807    
   0.94840       1.3805    
   0.96936       1.3802    
   0.99021       1.3797    
    1.0109       1.3783    
    1.0315       1.3754    
    1.0519       1.3719    
    1.0720       1.3690    
    1.0919       1.3675    
    1.1115       1.3681    
    1.1307       1.3717    
    1.1497       1.3782    
    1.1684       1.3875    
    1.1867       1.3996    
    1.2045       1.4151    
    1.2217       1.4343    
    1.2381       1.4585    
    1.2536       1.4896    
    1.2680       1.5299    
    1.2816       1.5858    
    1.2942       1.6662    
    1.3021       1.7907    
    1.3022       1.7364    
    1.3103       1.6008    
    1.3193       1.5384    
    1.3295       1.4901    
    1.3410       1.4510    
    1.3539       1.4177    
    1.3684       1.3886    
    1.3847       1.3623    
    1.4030       1.3381    
    1.4236       1.3153    
    1.4467       1.2937    
    1.4728       1.2730    
    1.5021       1.2530    
    1.5350       1.2337    
    1.5720       1.2149    
    1.6136       1.1969    
    1.6605       1.1795    
    1.7131       1.1629    
    1.7723       1.1472    
    1.8388       1.1325    
    1.9136       1.1187    
    1.9977       1.1061    
    2.0923       1.0945    
    2.1987       1.0841    
    2.3183       1.0747    
    2.4527       1.0665    
    2.6039       1.0592    

   0.34177E-02   2.2295    
   0.44810E-02   2.2169    
   0.57895E-02   2.2819    
   0.73346E-02   2.2388    
   0.90621E-02   2.2782    
   0.10933E-01   2.2528    
   0.12921E-01   2.2655    
   0.15013E-01   2.1725    
   0.17252E-01   2.2232    
   0.19711E-01   2.2814    
   0.22434E-01   2.3451    
   0.25411E-01   2.4069    
   0.28619E-01   2.3880    
   0.32047E-01   2.4587    
   0.35690E-01   2.4239    
   0.39538E-01   2.3267    
   0.43598E-01   2.3089    
   0.47880E-01   2.2347    
   0.52398E-01   2.2330    
   0.57183E-01   2.2082    
   0.62283E-01   2.2651    
   0.67747E-01   2.3517    
   0.73618E-01   2.3913    
   0.79950E-01   2.5412    
   0.86805E-01   2.6159    
   0.94236E-01   2.6482    
   0.10230       2.6559    
   0.11103       2.5937    
   0.12048       2.5070    
   0.13064       2.4128    
   0.14145       2.3204    
   0.15284       2.2885    
   0.16479       2.2952    
   0.17728       2.3496    
   0.19039       2.4591    
   0.20421       2.5850    
   0.21885       2.7731    
   0.23440       2.8754    
   0.25088       2.9474    
   0.26825       2.9458    
   0.28642       2.8630    
   0.30523       2.4292    
   0.32449       1.5884    
   0.34395       1.4070    
   0.36346       1.3877    
   0.38293       1.3903    
   0.40233       1.3901    
   0.42160       1.3876    
   0.44076       1.3840    
   0.45980       1.3810    
   0.47872       1.3783    
   0.49756       1.3771    
   0.51643       1.3783    
   0.53540       1.3795    
   0.55454       1.3810    
   0.57388       1.3820    
   0.59345       1.3823    
   0.61327       1.3827    
   0.63336       1.3830    
   0.65371       1.3828    
   0.67430       1.3818    
   0.69505       1.3798    
   0.71591       1.3770    
   0.73686       1.3730    
   0.75789       1.3691    
   0.77899       1.3655    
   0.80013       1.3622    
   0.82130       1.3594    
   0.84250       1.3566    
   0.86371       1.3544    
   0.88491       1.3526    
   0.90610       1.3510    
   0.92723       1.3498    
   0.94830       1.3486    
   0.96928       1.3475    
   0.99014       1.3462    
    1.0109       1.3440    
    1.0314       1.3404    
    1.0518       1.3365    
    1.0720       1.3332    
    1.0919       1.3311    
    1.1115       1.3308    
    1.1307       1.3331    
    1.1497       1.3372    
    1.1683       1.3431    
    1.1866       1.3503    
    1.2045       1.3587    
    1.2217       1.3687    
    1.2381       1.3809    
    1.2536       1.3958    
    1.2680       1.4163    
    1.2815       1.4474    
    1.2942       1.4989    
    1.3021       1.6354    
