#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           nc
   0.25223E-02   0.0000    
   0.17302E-02  0.32547E-09
   0.10246E-02  0.65441E-09
   0.44780E-03  0.99942E-09
   0.97881E-04  0.13507E-08
  -0.68296E-07  0.16842E-08
   0.47220E-04  0.19958E-08
   0.15621E-03  0.23225E-08
   0.46628E-03  0.26831E-08
   0.10607E-02  0.30331E-08
   0.18820E-02  0.33534E-08
   0.28512E-02  0.36501E-08
   0.39056E-02  0.39493E-08
   0.51041E-02  0.42675E-08
   0.65371E-02  0.45784E-08
   0.81451E-02  0.48656E-08
   0.98535E-02  0.51513E-08
   0.11709E-01  0.54520E-08
   0.13786E-01  0.57468E-08
   0.16069E-01  0.42853    
   0.18484E-01  0.93808    
   0.20988E-01   1.1948    
   0.23603E-01   1.1948    
   0.26365E-01   1.1948    
   0.29304E-01   1.1948    
   0.32446E-01   1.1948    
   0.35820E-01   1.1948    
   0.39451E-01   1.1948    
   0.43373E-01   1.1948    
   0.47619E-01   1.6009    
   0.52207E-01   2.7069    
   0.57151E-01   4.9883    
   0.62476E-01   8.3449    

   0.34177E-02   0.0000    
   0.44810E-02  0.34858E-09
   0.57895E-02  0.70035E-09
   0.73346E-02  0.10338E-08
   0.90621E-02  0.13532E-08
   0.10933E-01  0.16633E-08
   0.12921E-01  0.19691E-08
   0.15013E-01  0.22859E-08
   0.17252E-01  0.26240E-08
   0.19711E-01  0.29688E-08
   0.22434E-01  0.33039E-08
   0.25411E-01  0.36204E-08
   0.28619E-01  0.39202E-08
   0.32047E-01  0.42057E-08
   0.35690E-01  0.44802E-08
   0.39538E-01  0.47545E-08
   0.43598E-01  0.50345E-08
   0.47880E-01  0.53256E-08
   0.52398E-01  0.56319E-08
   0.57183E-01  0.59547E-08
   0.62283E-01  0.62921E-08
   0.67747E-01  0.66342E-08
   0.73618E-01  0.69767E-08
   0.79950E-01  0.74445E-01
   0.86805E-01  0.36105    
   0.94236E-01  0.79533    
   0.10230       1.2703    
   0.11103       1.7057    
   0.12048       1.9802    
   0.13064       2.0261    
   0.14145       2.0261    
   0.15284       2.0261    
   0.16479       2.0261    
   0.17728       2.0261    
   0.19039       2.0261    
   0.20421       2.3145    
   0.21885       3.0140    
   0.23440       4.1068    
   0.25088       5.4906    
   0.26825       6.9898    
   0.28642       8.3385    

