  
       XFOIL         Version 6.96
  
 Calculated polar for: STEADY FLOW TEST DATA                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0899   0.01293   0.00618  -0.0315   0.5009   0.0353
  -9.500  -1.0407   0.01255   0.00577  -0.0290   0.4850   0.0364
  -9.000  -0.9897   0.01225   0.00542  -0.0270   0.4697   0.0365
  -8.500  -0.9402   0.01185   0.00503  -0.0243   0.4628   0.0391
  -8.000  -0.8905   0.01152   0.00468  -0.0216   0.4485   0.0418
  -7.500  -0.8410   0.01117   0.00434  -0.0187   0.4405   0.0450
  -7.000  -0.8168   0.01022   0.00357  -0.0076   0.4295   0.0774
  -6.500  -0.7705   0.01006   0.00341  -0.0033   0.4182   0.0827
  -6.000  -0.7176   0.01000   0.00329  -0.0011   0.3966   0.0841
  -5.500  -0.6703   0.01021   0.00321   0.0027   0.3079   0.0876
  -5.000  -0.6105   0.01017   0.00310   0.0025   0.2830   0.0894
  -4.500  -0.5469   0.01009   0.00299   0.0011   0.2724   0.0905
  -4.000  -0.4832   0.01000   0.00288  -0.0003   0.2645   0.0930
  -3.500  -0.4181   0.00989   0.00278  -0.0022   0.2581   0.0947
  -3.000  -0.3528   0.00984   0.00270  -0.0041   0.2487   0.0959
  -2.500  -0.2863   0.00976   0.00262  -0.0064   0.2439   0.0981
  -2.000  -0.2213   0.00971   0.00255  -0.0083   0.2328   0.1015
  -1.500  -0.1620   0.00994   0.00259  -0.0082   0.1864   0.1033
  -1.000  -0.1013   0.01006   0.00262  -0.0087   0.1557   0.1086
  -0.500  -0.0370   0.01003   0.00259  -0.0103   0.1469   0.1171
   0.000   0.0148   0.00952   0.00236  -0.0079   0.1420   0.1842
   0.500   0.0799   0.00947   0.00235  -0.0097   0.1375   0.1994
   1.000   0.1468   0.00948   0.00238  -0.0122   0.1352   0.2074
   1.500   0.2134   0.00954   0.00243  -0.0145   0.1304   0.2117
   2.000   0.2811   0.00959   0.00248  -0.0172   0.1289   0.2159
   2.500   0.3474   0.00963   0.00253  -0.0195   0.1272   0.2224
   3.000   0.4136   0.00972   0.00261  -0.0217   0.1246   0.2246
   3.500   0.4793   0.00981   0.00269  -0.0238   0.1218   0.2300
   4.000   0.5445   0.00985   0.00277  -0.0257   0.1214   0.2375
   4.500   0.6091   0.00993   0.00286  -0.0273   0.1200   0.2452
   5.000   0.6721   0.01001   0.00297  -0.0286   0.1187   0.2531
   5.500   0.7327   0.01012   0.00309  -0.0290   0.1151   0.2642
   6.000   0.7912   0.01014   0.00319  -0.0287   0.1144   0.2899
   6.500   0.8253   0.00978   0.00318  -0.0202   0.1143   0.3937
   7.000   0.8791   0.00985   0.00334  -0.0184   0.1135   0.4199
   7.500   0.9345   0.00998   0.00354  -0.0171   0.1131   0.4410
   8.000   0.9870   0.01021   0.00379  -0.0150   0.1106   0.4556
   8.500   1.0432   0.01042   0.00402  -0.0142   0.1089   0.4649
   9.000   1.0974   0.01063   0.00427  -0.0128   0.1075   0.4802
   9.500   1.1533   0.01084   0.00452  -0.0121   0.1071   0.4944
  10.000   1.2048   0.01113   0.00484  -0.0101   0.1040   0.5128
  10.500   1.2563   0.01140   0.00518  -0.0083   0.1013   0.5399
  11.000   1.3090   0.01160   0.00554  -0.0070   0.0996   0.5955
  11.500   1.3150   0.01353   0.00730   0.0064   0.0602   0.6415
